	Draw Bresenham Line form (50, 50) to (150, 180)

PK	 X 	 Y 	 (X, Y)
10 	 51 	 51 	 (51, 51)
-50 	 52 	 52 	 (52, 52)
150 	 52 	 53 	 (52, 53)
90 	 53 	 54 	 (53, 54)
30 	 54 	 55 	 (54, 55)
-30 	 55 	 56 	 (55, 56)
170 	 55 	 57 	 (55, 57)
110 	 56 	 58 	 (56, 58)
50 	 57 	 59 	 (57, 59)
-10 	 58 	 60 	 (58, 60)
190 	 58 	 61 	 (58, 61)
130 	 59 	 62 	 (59, 62)
70 	 60 	 63 	 (60, 63)
10 	 61 	 64 	 (61, 64)
-50 	 62 	 65 	 (62, 65)
150 	 62 	 66 	 (62, 66)
90 	 63 	 67 	 (63, 67)
30 	 64 	 68 	 (64, 68)
-30 	 65 	 69 	 (65, 69)
170 	 65 	 70 	 (65, 70)
110 	 66 	 71 	 (66, 71)
50 	 67 	 72 	 (67, 72)
-10 	 68 	 73 	 (68, 73)
190 	 68 	 74 	 (68, 74)
130 	 69 	 75 	 (69, 75)
70 	 70 	 76 	 (70, 76)
10 	 71 	 77 	 (71, 77)
-50 	 72 	 78 	 (72, 78)
150 	 72 	 79 	 (72, 79)
90 	 73 	 80 	 (73, 80)
30 	 74 	 81 	 (74, 81)
-30 	 75 	 82 	 (75, 82)
170 	 75 	 83 	 (75, 83)
110 	 76 	 84 	 (76, 84)
50 	 77 	 85 	 (77, 85)
-10 	 78 	 86 	 (78, 86)
190 	 78 	 87 	 (78, 87)
130 	 79 	 88 	 (79, 88)
70 	 80 	 89 	 (80, 89)
10 	 81 	 90 	 (81, 90)
-50 	 82 	 91 	 (82, 91)
150 	 82 	 92 	 (82, 92)
90 	 83 	 93 	 (83, 93)
30 	 84 	 94 	 (84, 94)
-30 	 85 	 95 	 (85, 95)
170 	 85 	 96 	 (85, 96)
110 	 86 	 97 	 (86, 97)
50 	 87 	 98 	 (87, 98)
-10 	 88 	 99 	 (88, 99)
190 	 88 	 100 	 (88, 100)
130 	 89 	 101 	 (89, 101)
70 	 90 	 102 	 (90, 102)
10 	 91 	 103 	 (91, 103)
-50 	 92 	 104 	 (92, 104)
150 	 92 	 105 	 (92, 105)
90 	 93 	 106 	 (93, 106)
30 	 94 	 107 	 (94, 107)
-30 	 95 	 108 	 (95, 108)
170 	 95 	 109 	 (95, 109)
110 	 96 	 110 	 (96, 110)
50 	 97 	 111 	 (97, 111)
-10 	 98 	 112 	 (98, 112)
190 	 98 	 113 	 (98, 113)
130 	 99 	 114 	 (99, 114)
70 	 100 	 115 	 (100, 115)
10 	 101 	 116 	 (101, 116)
-50 	 102 	 117 	 (102, 117)
150 	 102 	 118 	 (102, 118)
90 	 103 	 119 	 (103, 119)
30 	 104 	 120 	 (104, 120)
-30 	 105 	 121 	 (105, 121)
170 	 105 	 122 	 (105, 122)
110 	 106 	 123 	 (106, 123)
50 	 107 	 124 	 (107, 124)
-10 	 108 	 125 	 (108, 125)
190 	 108 	 126 	 (108, 126)
130 	 109 	 127 	 (109, 127)
70 	 110 	 128 	 (110, 128)
10 	 111 	 129 	 (111, 129)
-50 	 112 	 130 	 (112, 130)
150 	 112 	 131 	 (112, 131)
90 	 113 	 132 	 (113, 132)
30 	 114 	 133 	 (114, 133)
-30 	 115 	 134 	 (115, 134)
170 	 115 	 135 	 (115, 135)
110 	 116 	 136 	 (116, 136)
50 	 117 	 137 	 (117, 137)
-10 	 118 	 138 	 (118, 138)
190 	 118 	 139 	 (118, 139)
130 	 119 	 140 	 (119, 140)
70 	 120 	 141 	 (120, 141)
10 	 121 	 142 	 (121, 142)
-50 	 122 	 143 	 (122, 143)
150 	 122 	 144 	 (122, 144)
90 	 123 	 145 	 (123, 145)
30 	 124 	 146 	 (124, 146)
-30 	 125 	 147 	 (125, 147)
170 	 125 	 148 	 (125, 148)
110 	 126 	 149 	 (126, 149)
50 	 127 	 150 	 (127, 150)
-10 	 128 	 151 	 (128, 151)
190 	 128 	 152 	 (128, 152)
130 	 129 	 153 	 (129, 153)
70 	 130 	 154 	 (130, 154)
10 	 131 	 155 	 (131, 155)
-50 	 132 	 156 	 (132, 156)
150 	 132 	 157 	 (132, 157)
90 	 133 	 158 	 (133, 158)
30 	 134 	 159 	 (134, 159)
-30 	 135 	 160 	 (135, 160)
170 	 135 	 161 	 (135, 161)
110 	 136 	 162 	 (136, 162)
50 	 137 	 163 	 (137, 163)
-10 	 138 	 164 	 (138, 164)
190 	 138 	 165 	 (138, 165)
130 	 139 	 166 	 (139, 166)
70 	 140 	 167 	 (140, 167)
10 	 141 	 168 	 (141, 168)
-50 	 142 	 169 	 (142, 169)
150 	 142 	 170 	 (142, 170)
90 	 143 	 171 	 (143, 171)
30 	 144 	 172 	 (144, 172)
-30 	 145 	 173 	 (145, 173)
170 	 145 	 174 	 (145, 174)
110 	 146 	 175 	 (146, 175)
50 	 147 	 176 	 (147, 176)
-10 	 148 	 177 	 (148, 177)
190 	 148 	 178 	 (148, 178)
130 	 149 	 179 	 (149, 179)
70 	 150 	 180 	 (150, 180)
