	Draw Bresenham Circle using (50, 50) and Radius r = 30

PK	 (X, Y) 	 2X 	 2Y
-29 	 (0, 30) 	 0 	 60
-26 	 (1, 30) 	 2 	 60
-21 	 (2, 30) 	 4 	 60
-14 	 (3, 30) 	 6 	 60
-5 	 (4, 30) 	 8 	 60
6 	 (5, 30) 	 10 	 60
-39 	 (6, 29) 	 12 	 58
-24 	 (7, 29) 	 14 	 58
-7 	 (8, 29) 	 16 	 58
12 	 (9, 29) 	 18 	 58
-23 	 (10, 28) 	 20 	 56
0 	 (11, 28) 	 22 	 56
-29 	 (12, 27) 	 24 	 54
-2 	 (13, 27) 	 26 	 54
27 	 (14, 27) 	 28 	 54
6 	 (15, 26) 	 30 	 52
-11 	 (16, 25) 	 32 	 50
24 	 (17, 25) 	 34 	 50
13 	 (18, 24) 	 36 	 48
6 	 (19, 23) 	 38 	 46
3 	 (20, 22) 	 40 	 44
4 	 (21, 21) 	 42 	 42
