	Draw DDA Line form (100, 100) to (150, 180)

X	 Y 	 (X, Y)
100.62 	 101 	 (101, 101)
101.25 	 102 	 (101, 102)
101.88 	 103 	 (102, 103)
102.5 	 104 	 (102, 104)
103.12 	 105 	 (103, 105)
103.75 	 106 	 (104, 106)
104.38 	 107 	 (104, 107)
105 	 108 	 (105, 108)
105.62 	 109 	 (106, 109)
106.25 	 110 	 (106, 110)
106.88 	 111 	 (107, 111)
107.5 	 112 	 (108, 112)
108.12 	 113 	 (108, 113)
108.75 	 114 	 (109, 114)
109.38 	 115 	 (109, 115)
110 	 116 	 (110, 116)
110.62 	 117 	 (111, 117)
111.25 	 118 	 (111, 118)
111.88 	 119 	 (112, 119)
112.5 	 120 	 (112, 120)
113.12 	 121 	 (113, 121)
113.75 	 122 	 (114, 122)
114.38 	 123 	 (114, 123)
115 	 124 	 (115, 124)
115.62 	 125 	 (116, 125)
116.25 	 126 	 (116, 126)
116.88 	 127 	 (117, 127)
117.5 	 128 	 (118, 128)
118.12 	 129 	 (118, 129)
118.75 	 130 	 (119, 130)
119.38 	 131 	 (119, 131)
120 	 132 	 (120, 132)
120.62 	 133 	 (121, 133)
121.25 	 134 	 (121, 134)
121.88 	 135 	 (122, 135)
122.5 	 136 	 (122, 136)
123.12 	 137 	 (123, 137)
123.75 	 138 	 (124, 138)
124.38 	 139 	 (124, 139)
125 	 140 	 (125, 140)
125.62 	 141 	 (126, 141)
126.25 	 142 	 (126, 142)
126.88 	 143 	 (127, 143)
127.5 	 144 	 (128, 144)
128.12 	 145 	 (128, 145)
128.75 	 146 	 (129, 146)
129.38 	 147 	 (129, 147)
130 	 148 	 (130, 148)
130.62 	 149 	 (131, 149)
131.25 	 150 	 (131, 150)
131.88 	 151 	 (132, 151)
132.5 	 152 	 (132, 152)
133.12 	 153 	 (133, 153)
133.75 	 154 	 (134, 154)
134.38 	 155 	 (134, 155)
135 	 156 	 (135, 156)
135.62 	 157 	 (136, 157)
136.25 	 158 	 (136, 158)
136.88 	 159 	 (137, 159)
137.5 	 160 	 (138, 160)
138.12 	 161 	 (138, 161)
138.75 	 162 	 (139, 162)
139.38 	 163 	 (139, 163)
140 	 164 	 (140, 164)
140.62 	 165 	 (141, 165)
141.25 	 166 	 (141, 166)
141.88 	 167 	 (142, 167)
142.5 	 168 	 (142, 168)
143.12 	 169 	 (143, 169)
143.75 	 170 	 (144, 170)
144.38 	 171 	 (144, 171)
145 	 172 	 (145, 172)
145.62 	 173 	 (146, 173)
146.25 	 174 	 (146, 174)
146.88 	 175 	 (147, 175)
147.5 	 176 	 (148, 176)
148.12 	 177 	 (148, 177)
148.75 	 178 	 (149, 178)
149.38 	 179 	 (149, 179)
150 	 180 	 (150, 180)
